,count,mean,std,min,25%,50%,75%,max
BLACK_SCHOLES,100000.0,-0.038997759559006626,0.28158032981009035,-1.5872333427060314,-0.10009851422646107,-0.02419449169648105,0.0607931317853132,1.3149739255190462
HESTON,100000.0,-0.04720157123239071,0.2812102832669632,-1.5400568671970514,-0.11987464472605268,-0.05739223006364872,0.045992549760345815,1.36773572227247
VARIANCE_GAMMA,100000.0,-0.08259360463964324,0.310907856651384,-1.7530833651494109,-0.2006977130478453,-0.07659058342844222,0.013766206130822137,2.4255938801703993
SVJ,100000.0,-0.06975269140942326,0.2889729025414076,-1.478174462594495,-0.1756564727441766,-0.09070823039985322,0.02567826706312427,1.4210510726950862
SVCJ,100000.0,-0.0407842505158705,0.2860004720946179,-1.5891089602509498,-0.13129466297599654,-0.07021063154788562,0.05599744004323966,1.4300522308262154
CGMY,100000.0,-0.08586414211980611,0.30216077477711284,-1.5995023283925078,-0.20227583995251192,-0.07560783255183223,0.0036261810059970007,1.4660439385428692
MERTON,100000.0,-0.08611179241653986,0.2941360701236207,-1.4731737438277603,-0.21336102776125904,-0.11687141652980146,0.02089770319458995,1.4520799666937576
