cost,rmse,penalty,NU,SIGMA,THETA
0.130163,0.130163,0.000000,0.010000,0.612859,-0.600000
0.130163,0.130163,0.000000,0.010000,0.612859,-0.600000
0.130163,0.130163,0.000000,0.010000,0.612859,-0.600000
0.130163,0.130163,0.000000,0.010000,0.612859,-0.600000
0.847348,0.847348,0.000000,0.000010,1.581018,-0.601306
0.146050,0.146050,0.000000,0.007161,0.888004,-0.600371
0.019194,0.019194,0.000000,0.008660,0.742744,-0.600175
0.019194,0.019194,0.000000,0.008660,0.742744,-0.600175
0.019194,0.019194,0.000000,0.008660,0.742744,-0.600175
0.019194,0.019194,0.000000,0.008660,0.742744,-0.600175
0.021931,0.021931,0.000000,0.000010,0.738487,-0.598174
0.019070,0.019070,0.000000,0.007218,0.742034,-0.599842
0.019070,0.019070,0.000000,0.007218,0.742034,-0.599842
0.019070,0.019070,0.000000,0.007218,0.742034,-0.599842
0.019070,0.019070,0.000000,0.007218,0.742034,-0.599842
0.019401,0.019401,0.000000,0.005998,0.736782,-0.598727
0.019058,0.019058,0.000000,0.007023,0.741194,-0.599663
0.019058,0.019058,0.000000,0.007023,0.741194,-0.599663
0.019058,0.019058,0.000000,0.007023,0.741194,-0.599663
0.019058,0.019058,0.000000,0.007023,0.741194,-0.599663
0.019055,0.019055,0.000000,0.006945,0.741167,-0.598126
0.019055,0.019055,0.000000,0.006945,0.741167,-0.598126
0.019055,0.019055,0.000000,0.006945,0.741167,-0.598126
0.019055,0.019055,0.000000,0.006945,0.741167,-0.598126
0.019044,0.019044,0.000000,0.006754,0.741112,-0.587998
0.019044,0.019044,0.000000,0.006755,0.741112,-0.587998
0.019044,0.019044,0.000000,0.006754,0.741112,-0.587998
0.019044,0.019044,0.000000,0.006754,0.741112,-0.587998
0.019016,0.019016,0.000000,0.006519,0.741073,-0.558088
0.019016,0.019016,0.000000,0.006519,0.741073,-0.558088
0.019016,0.019016,0.000000,0.006519,0.741073,-0.558088
0.019016,0.019016,0.000000,0.006519,0.741073,-0.558088
0.018943,0.018943,0.000000,0.006248,0.741100,-0.468683
0.018943,0.018943,0.000000,0.006248,0.741100,-0.468683
0.018943,0.018943,0.000000,0.006248,0.741100,-0.468683
0.018943,0.018943,0.000000,0.006248,0.741100,-0.468683
0.018778,0.018778,0.000000,0.006126,0.741225,-0.241396
0.018778,0.018778,0.000000,0.006126,0.741225,-0.241396
0.018778,0.018778,0.000000,0.006126,0.741225,-0.241396
0.018778,0.018778,0.000000,0.006126,0.741225,-0.241396
0.018574,0.018574,0.000000,0.006422,0.740792,0.109520
0.018574,0.018574,0.000000,0.006422,0.740792,0.109520
0.018574,0.018574,0.000000,0.006422,0.740792,0.109520
0.018574,0.018574,0.000000,0.006422,0.740792,0.109520
0.018341,0.018341,0.000000,0.006784,0.738917,0.288963
0.018341,0.018341,0.000000,0.006784,0.738917,0.288963
0.018341,0.018341,0.000000,0.006784,0.738917,0.288963
0.018341,0.018341,0.000000,0.006784,0.738917,0.288963
0.018117,0.018117,0.000000,0.007669,0.736257,0.420270
0.018117,0.018117,0.000000,0.007669,0.736257,0.420270
0.018117,0.018117,0.000000,0.007669,0.736257,0.420270
0.018117,0.018117,0.000000,0.007669,0.736257,0.420270
0.018158,0.018158,0.000000,0.008688,0.735129,0.640210
0.018087,0.018087,0.000000,0.008055,0.735830,0.503555
0.018087,0.018087,0.000000,0.008055,0.735830,0.503555
0.018087,0.018087,0.000000,0.008055,0.735830,0.503555
0.018087,0.018087,0.000000,0.008055,0.735830,0.503555
0.018072,0.018072,0.000000,0.008464,0.735249,0.518819
0.018072,0.018072,0.000000,0.008464,0.735249,0.518819
0.018072,0.018072,0.000000,0.008464,0.735249,0.518819
0.018072,0.018072,0.000000,0.008464,0.735249,0.518819
