cost,rmse,penalty,NU,SIGMA,THETA
0.036889,0.036889,0.000000,0.010000,0.612859,-0.600000
0.036889,0.036889,0.000000,0.010000,0.612859,-0.600000
0.036889,0.036889,0.000000,0.010000,0.612859,-0.600000
0.036889,0.036889,0.000000,0.010000,0.612859,-0.600000
inf,inf,0.000000,1.308120,0.000010,-0.597192
0.079766,0.079766,0.000000,0.139812,0.551574,-0.599719
0.032396,0.032396,0.000000,0.063986,0.587372,-0.599883
0.017609,0.017609,0.000000,0.038443,0.599431,-0.599938
0.017609,0.017609,0.000000,0.038443,0.599431,-0.599938
0.017609,0.017609,0.000000,0.038443,0.599431,-0.599938
0.017609,0.017609,0.000000,0.038443,0.599431,-0.599938
0.031709,0.031709,0.000000,0.015561,0.564484,-0.592561
0.017526,0.017526,0.000000,0.036154,0.595936,-0.599201
0.017526,0.017526,0.000000,0.036155,0.595936,-0.599201
0.017526,0.017526,0.000000,0.036154,0.595936,-0.599201
0.017526,0.017526,0.000000,0.036154,0.595936,-0.599201
0.016725,0.016725,0.000000,0.025694,0.596091,-0.587123
0.016725,0.016725,0.000000,0.025694,0.596091,-0.587123
0.016725,0.016725,0.000000,0.025694,0.596091,-0.587123
0.016725,0.016725,0.000000,0.025694,0.596091,-0.587123
0.016435,0.016435,0.000000,0.030815,0.597789,-0.585457
0.016435,0.016435,0.000000,0.030815,0.597789,-0.585457
0.016435,0.016435,0.000000,0.030815,0.597789,-0.585457
0.016435,0.016435,0.000000,0.030815,0.597789,-0.585457
0.016381,0.016381,0.000000,0.029951,0.597426,-0.579518
0.016381,0.016381,0.000000,0.029951,0.597426,-0.579518
0.016381,0.016381,0.000000,0.029951,0.597426,-0.579518
0.016381,0.016381,0.000000,0.029951,0.597426,-0.579518
0.016280,0.016280,0.000000,0.028882,0.597211,-0.557931
0.016280,0.016280,0.000000,0.028882,0.597211,-0.557931
0.016280,0.016280,0.000000,0.028882,0.597211,-0.557931
0.016280,0.016280,0.000000,0.028882,0.597211,-0.557931
0.016099,0.016099,0.000000,0.028193,0.597361,-0.508525
0.016099,0.016099,0.000000,0.028193,0.597361,-0.508525
0.016099,0.016099,0.000000,0.028193,0.597361,-0.508525
0.016099,0.016099,0.000000,0.028193,0.597361,-0.508525
0.015737,0.015737,0.000000,0.028398,0.598380,-0.378883
0.015737,0.015737,0.000000,0.028398,0.598380,-0.378883
0.015737,0.015737,0.000000,0.028398,0.598380,-0.378883
0.015737,0.015737,0.000000,0.028398,0.598380,-0.378883
0.015551,0.015551,0.000000,0.029888,0.598705,-0.286936
0.015551,0.015551,0.000000,0.029888,0.598705,-0.286936
0.015551,0.015551,0.000000,0.029888,0.598705,-0.286936
0.015551,0.015551,0.000000,0.029888,0.598705,-0.286936
0.015507,0.015507,0.000000,0.030922,0.598513,-0.285893
0.015507,0.015507,0.000000,0.030922,0.598513,-0.285893
0.015507,0.015507,0.000000,0.030922,0.598513,-0.285893
0.015507,0.015507,0.000000,0.030922,0.598513,-0.285893
0.015497,0.015497,0.000000,0.031552,0.599019,-0.288368
0.015497,0.015497,0.000000,0.031552,0.599019,-0.288368
0.015497,0.015497,0.000000,0.031552,0.599019,-0.288368
0.015497,0.015497,0.000000,0.031552,0.599019,-0.288368
0.015496,0.015496,0.000000,0.031671,0.599141,-0.297268
0.015496,0.015496,0.000000,0.031671,0.599141,-0.297268
0.015496,0.015496,0.000000,0.031671,0.599141,-0.297268
0.015496,0.015496,0.000000,0.031671,0.599141,-0.297268
