cost,rmse,penalty,NU,SIGMA,THETA
0.064299,0.064299,0.000000,0.010000,0.612859,-0.600000
0.064299,0.064299,0.000000,0.010000,0.612859,-0.600000
0.064299,0.064299,0.000000,0.010000,0.612859,-0.600000
0.064299,0.064299,0.000000,0.010000,0.612859,-0.600000
0.108938,0.108938,0.000000,0.401326,0.834982,-0.599246
0.087945,0.087945,0.000000,0.170318,0.703858,-0.599691
0.074085,0.074085,0.000000,0.072377,0.648265,-0.599880
0.065717,0.065717,0.000000,0.033932,0.626443,-0.599954
0.063164,0.063164,0.000000,0.020736,0.618953,-0.599979
0.063164,0.063164,0.000000,0.020736,0.618953,-0.599979
0.063164,0.063164,0.000000,0.020736,0.618953,-0.599979
0.063164,0.063164,0.000000,0.020736,0.618953,-0.599979
0.317730,0.317730,0.000000,0.098424,1.085716,-0.599019
0.068517,0.068517,0.000000,0.034220,0.699966,-0.599813
0.058300,0.058300,0.000000,0.026227,0.651942,-0.599911
0.058300,0.058300,0.000000,0.026227,0.651942,-0.599911
0.058300,0.058300,0.000000,0.026227,0.651942,-0.599911
0.058300,0.058300,0.000000,0.026227,0.651942,-0.599911
0.058272,0.058272,0.000000,0.025526,0.650876,-0.596734
0.058272,0.058272,0.000000,0.025526,0.650876,-0.596734
0.058272,0.058272,0.000000,0.025526,0.650876,-0.596734
0.058272,0.058272,0.000000,0.025526,0.650876,-0.596734
0.058232,0.058232,0.000000,0.023825,0.649260,-0.584770
0.058232,0.058232,0.000000,0.023825,0.649260,-0.584770
0.058232,0.058232,0.000000,0.023825,0.649260,-0.584770
0.058232,0.058232,0.000000,0.023825,0.649260,-0.584770
0.058218,0.058218,0.000000,0.023699,0.649288,-0.578749
0.058218,0.058218,0.000000,0.023699,0.649288,-0.578749
0.058218,0.058218,0.000000,0.023699,0.649288,-0.578749
0.058218,0.058218,0.000000,0.023699,0.649288,-0.578749
0.058134,0.058134,0.000000,0.023791,0.649758,-0.547825
0.058134,0.058134,0.000000,0.023791,0.649758,-0.547825
0.058134,0.058134,0.000000,0.023791,0.649758,-0.547825
0.058134,0.058134,0.000000,0.023791,0.649758,-0.547825
0.057831,0.057831,0.000000,0.024629,0.651461,-0.403507
0.057831,0.057831,0.000000,0.024629,0.651461,-0.403507
0.057831,0.057831,0.000000,0.024629,0.651461,-0.403507
0.057831,0.057831,0.000000,0.024629,0.651461,-0.403507
0.057677,0.057677,0.000000,0.025507,0.652057,-0.203866
0.057677,0.057677,0.000000,0.025507,0.652057,-0.203866
0.057677,0.057677,0.000000,0.025507,0.652057,-0.203866
0.057677,0.057677,0.000000,0.025507,0.652057,-0.203866
0.057654,0.057654,0.000000,0.024991,0.650073,-0.197998
0.057654,0.057654,0.000000,0.024991,0.650073,-0.197998
0.057654,0.057654,0.000000,0.024991,0.650073,-0.197998
0.057654,0.057654,0.000000,0.024991,0.650073,-0.197998
0.057652,0.057652,0.000000,0.024860,0.649458,-0.178404
0.057652,0.057652,0.000000,0.024860,0.649458,-0.178404
0.057652,0.057652,0.000000,0.024860,0.649458,-0.178404
0.057652,0.057652,0.000000,0.024860,0.649458,-0.178404
