cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.586378,0.579688,0.006690,1.384418,0.215912,0.154959,1.030451,0.883717,0.919793,-0.399355,0.000010,0.010000
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.108264,0.098196,0.010068,1.424116,0.242098,0.994176,1.106765,0.886981,0.986164,-0.590012,0.000010,0.061902
0.129521,0.118231,0.011291,1.419738,0.223168,1.340397,1.084341,0.883324,1.022428,-0.630775,0.000010,0.048772
0.090673,0.080147,0.010526,1.422354,0.234482,1.133471,1.097743,0.885509,1.000754,-0.606412,0.000010,0.056619
0.090673,0.080147,0.010526,1.422354,0.234482,1.133471,1.097743,0.885509,1.000754,-0.606412,0.000010,0.056619
0.090673,0.080147,0.010526,1.422354,0.234482,1.133471,1.097743,0.885509,1.000754,-0.606412,0.000010,0.056619
