cost,rmse,penalty,SIGMA
0.180735,0.180735,0.000000,0.800000
0.180735,0.180735,0.000000,0.800000
99.367080,99.367080,0.000000,0.000010
0.111069,0.111069,0.000000,0.720001
0.111069,0.111069,0.000000,0.720001
0.365788,0.365788,0.000000,0.273718
0.080787,0.080787,0.000000,0.590882
0.080787,0.080787,0.000000,0.590882
0.069621,0.069621,0.000000,0.642417
0.069621,0.069621,0.000000,0.642417
0.068984,0.068984,0.000000,0.631739
0.068984,0.068984,0.000000,0.631739
0.068973,0.068973,0.000000,0.632954
0.068973,0.068973,0.000000,0.632954
