cost,rmse,penalty,SIGMA
0.057569,0.057569,0.000000,0.800000
0.057569,0.057569,0.000000,0.800000
0.905108,0.905108,0.000000,1.760245
0.195553,0.195553,0.000000,1.050172
0.029025,0.029025,0.000000,0.879450
0.029025,0.029025,0.000000,0.879450
0.020502,0.020502,0.000000,0.842550
0.020502,0.020502,0.000000,0.842550
0.016354,0.016354,0.000000,0.858312
0.016354,0.016354,0.000000,0.858312
0.016082,0.016082,0.000000,0.854688
0.016082,0.016082,0.000000,0.854688
0.016071,0.016071,0.000000,0.855288
0.016071,0.016071,0.000000,0.855288
