cost,rmse,penalty,SIGMA
0.198391,0.198391,0.000000,0.800000
0.198391,0.198391,0.000000,0.800000
99.385026,99.385026,0.000000,0.000010
0.127119,0.127119,0.000000,0.720001
0.127119,0.127119,0.000000,0.720001
0.520440,0.520440,0.000000,0.099516
0.100543,0.100543,0.000000,0.544467
0.100543,0.100543,0.000000,0.544467
0.072358,0.072358,0.000000,0.625081
0.072358,0.072358,0.000000,0.625081
0.071727,0.071727,0.000000,0.611724
0.071727,0.071727,0.000000,0.611724
0.071652,0.071652,0.000000,0.615022
0.071652,0.071652,0.000000,0.615022
