cost,rmse,penalty,SIGMA
0.215250,0.215250,0.000000,0.800000
0.215250,0.215250,0.000000,0.800000
99.403989,99.403989,0.000000,0.000010
0.141769,0.141769,0.000000,0.720001
0.141769,0.141769,0.000000,0.720001
99.403989,99.403989,0.000000,0.000010
0.086206,0.086206,0.000000,0.648002
0.086206,0.086206,0.000000,0.648002
0.127905,0.127905,0.000000,0.488199
0.068886,0.068886,0.000000,0.592238
0.068886,0.068886,0.000000,0.592238
0.068787,0.068787,0.000000,0.596910
0.068787,0.068787,0.000000,0.596910
0.068781,0.068781,0.000000,0.596034
0.068781,0.068781,0.000000,0.596034
