cost,rmse,penalty,SIGMA
0.201933,0.201933,0.000000,0.800000
0.201933,0.201933,0.000000,0.800000
99.394814,99.394814,0.000000,0.000010
0.126528,0.126528,0.000000,0.720001
0.126528,0.126528,0.000000,0.720001
99.394814,99.394814,0.000000,0.000010
0.068279,0.068279,0.000000,0.648002
0.068279,0.068279,0.000000,0.648002
0.129558,0.129558,0.000000,0.487068
0.053691,0.053691,0.000000,0.597942
0.053691,0.053691,0.000000,0.597942
0.053222,0.053222,0.000000,0.606822
0.053222,0.053222,0.000000,0.606822
0.053198,0.053198,0.000000,0.605188
0.053198,0.053198,0.000000,0.605188
