cost,rmse,penalty,SIGMA
0.207223,0.207223,0.000000,0.800000
0.207223,0.207223,0.000000,0.800000
99.397756,99.397756,0.000000,0.000010
0.133055,0.133055,0.000000,0.720001
0.133055,0.133055,0.000000,0.720001
99.397756,99.397756,0.000000,0.000010
0.077029,0.077029,0.000000,0.648002
0.077029,0.077029,0.000000,0.648002
0.118610,0.118610,0.000000,0.501135
0.062107,0.062107,0.000000,0.598277
0.062107,0.062107,0.000000,0.598277
0.061985,0.061985,0.000000,0.603127
0.061985,0.061985,0.000000,0.603127
0.061979,0.061979,0.000000,0.602262
0.061979,0.061979,0.000000,0.602262
