cost,rmse,penalty,SIGMA
0.179383,0.179383,0.000000,0.800000
0.179383,0.179383,0.000000,0.800000
99.364618,99.364618,0.000000,0.000010
0.110651,0.110651,0.000000,0.720001
0.110651,0.110651,0.000000,0.720001
0.323001,0.323001,0.000000,0.320381
0.078712,0.078712,0.000000,0.602124
0.078712,0.078712,0.000000,0.602124
0.071856,0.071856,0.000000,0.644104
0.071856,0.071856,0.000000,0.644104
0.071331,0.071331,0.000000,0.634763
0.071331,0.071331,0.000000,0.634763
0.071328,0.071328,0.000000,0.635412
0.071328,0.071328,0.000000,0.635412
