cost,rmse,penalty,SIGMA
0.203106,0.203106,0.000000,0.800000
0.203106,0.203106,0.000000,0.800000
99.402378,99.402378,0.000000,0.000010
0.123581,0.123581,0.000000,0.720001
0.123581,0.123581,0.000000,0.720001
99.402378,99.402378,0.000000,0.000010
0.053235,0.053235,0.000000,0.648002
0.053235,0.053235,0.000000,0.648002
99.402378,99.402378,0.000000,0.000010
0.022449,0.022449,0.000000,0.583203
0.022449,0.022449,0.000000,0.583203
0.020851,0.020851,0.000000,0.609404
0.017205,0.017205,0.000000,0.597678
0.017205,0.017205,0.000000,0.597678
