cost,rmse,penalty,SIGMA
0.140143,0.140143,0.000000,0.800000
0.140143,0.140143,0.000000,0.800000
99.337437,99.337437,0.000000,0.000010
0.063645,0.063645,0.000000,0.720001
0.063645,0.063645,0.000000,0.720001
99.337437,99.337437,0.000000,0.000010
0.031051,0.031051,0.000000,0.648002
0.031051,0.031051,0.000000,0.648002
0.029210,0.029210,0.000000,0.672626
0.029210,0.029210,0.000000,0.672626
0.027426,0.027426,0.000000,0.662201
0.027426,0.027426,0.000000,0.662201
0.027423,0.027423,0.000000,0.662590
0.027423,0.027423,0.000000,0.662590
