cost,rmse,penalty,SIGMA
0.249305,0.249305,0.000000,0.800000
0.249305,0.249305,0.000000,0.800000
99.442144,99.442144,0.000000,0.000010
0.172664,0.172664,0.000000,0.720001
0.172664,0.172664,0.000000,0.720001
99.442144,99.442144,0.000000,0.000010
0.107939,0.107939,0.000000,0.648002
0.107939,0.107939,0.000000,0.648002
0.491660,0.491660,0.000000,0.069813
0.092524,0.092524,0.000000,0.486929
0.092524,0.092524,0.000000,0.486929
0.059712,0.059712,0.000000,0.564035
0.059712,0.059712,0.000000,0.564035
0.059469,0.059469,0.000000,0.554889
0.059469,0.059469,0.000000,0.554889
0.059394,0.059394,0.000000,0.557882
0.059394,0.059394,0.000000,0.557882
