cost,rmse,penalty,SIGMA
0.050711,0.050711,0.000000,0.800000
0.050711,0.050711,0.000000,0.800000
0.891574,0.891574,0.000000,1.739022
0.193498,0.193498,0.000000,1.040329
0.031289,0.031289,0.000000,0.873598
0.031289,0.031289,0.000000,0.873598
0.019425,0.019425,0.000000,0.839060
0.019425,0.019425,0.000000,0.839060
0.017769,0.017769,0.000000,0.851034
0.017769,0.017769,0.000000,0.851034
0.017439,0.017439,0.000000,0.847397
0.017439,0.017439,0.000000,0.847397
0.017437,0.017437,0.000000,0.847623
0.017437,0.017437,0.000000,0.847623
