cost,rmse,penalty,SIGMA
0.219573,0.219573,0.000000,0.800000
0.219573,0.219573,0.000000,0.800000
0.768061,0.768061,0.000000,1.782781
0.105715,0.105715,0.000000,1.113412
0.105715,0.105715,0.000000,1.113412
0.067708,0.067708,0.000000,0.961585
0.067708,0.067708,0.000000,0.961585
0.043722,0.043722,0.000000,1.032090
0.043722,0.043722,0.000000,1.032090
0.041027,0.041027,0.000000,1.009692
0.041027,0.041027,0.000000,1.009692
0.040572,0.040572,0.000000,1.016079
0.040572,0.040572,0.000000,1.016079
0.040571,0.040571,0.000000,1.015789
0.040571,0.040571,0.000000,1.015789
