cost,rmse,penalty,SIGMA
0.232437,0.232437,0.000000,0.800000
0.232437,0.232437,0.000000,0.800000
99.414900,99.414900,0.000000,0.000010
0.161398,0.161398,0.000000,0.720001
0.161398,0.161398,0.000000,0.720001
99.414900,99.414900,0.000000,0.000010
0.108689,0.108689,0.000000,0.648002
0.108689,0.108689,0.000000,0.648002
0.132927,0.132927,0.000000,0.486105
0.088678,0.088678,0.000000,0.583698
0.088678,0.088678,0.000000,0.583698
0.088666,0.088666,0.000000,0.585455
0.088666,0.088666,0.000000,0.585455
0.088666,0.088666,0.000000,0.585139
