cost,rmse,penalty,SIGMA
0.178069,0.178069,0.000000,0.800000
0.178069,0.178069,0.000000,0.800000
0.814631,0.814631,0.000000,1.790679
0.126401,0.126401,0.000000,1.100461
0.126401,0.126401,0.000000,1.100461
0.035174,0.035174,0.000000,0.950936
0.035174,0.035174,0.000000,0.950936
0.045094,0.045094,0.000000,1.014424
0.024264,0.024264,0.000000,0.977047
0.024264,0.024264,0.000000,0.977047
0.024258,0.024258,0.000000,0.976133
0.024258,0.024258,0.000000,0.976133
0.024256,0.024256,0.000000,0.976410
0.024256,0.024256,0.000000,0.976410
