cost,rmse,penalty,SIGMA
0.199222,0.199222,0.000000,0.800000
0.199222,0.199222,0.000000,0.800000
99.398084,99.398084,0.000000,0.000010
0.119986,0.119986,0.000000,0.720001
0.119986,0.119986,0.000000,0.720001
99.398084,99.398084,0.000000,0.000010
0.050762,0.050762,0.000000,0.648002
0.050762,0.050762,0.000000,0.648002
99.398084,99.398084,0.000000,0.000010
0.028343,0.028343,0.000000,0.583203
0.028343,0.028343,0.000000,0.583203
0.022946,0.022946,0.000000,0.610488
0.022946,0.022946,0.000000,0.610488
0.021325,0.021325,0.000000,0.600631
0.021325,0.021325,0.000000,0.600631
0.021286,0.021286,0.000000,0.602002
0.021286,0.021286,0.000000,0.602002
