cost,rmse,penalty,SIGMA
0.172235,0.172235,0.000000,0.800000
0.172235,0.172235,0.000000,0.800000
0.824429,0.824429,0.000000,1.795787
0.129803,0.129803,0.000000,1.100347
0.129803,0.129803,0.000000,1.100347
0.026350,0.026350,0.000000,0.950417
0.026350,0.026350,0.000000,0.950417
0.048486,0.048486,0.000000,1.017350
0.016005,0.016005,0.000000,0.974099
0.016005,0.016005,0.000000,0.974099
0.015855,0.015855,0.000000,0.970116
0.015855,0.015855,0.000000,0.970116
0.015794,0.015794,0.000000,0.971518
0.015794,0.015794,0.000000,0.971518
