cost,rmse,penalty,NU,SIGMA,THETA
0.071550,0.071550,0.000000,0.010000,0.610503,-0.600000
0.071550,0.071550,0.000000,0.010000,0.610503,-0.600000
0.071550,0.071550,0.000000,0.010000,0.610503,-0.600000
0.071550,0.071550,0.000000,0.010000,0.610503,-0.600000
0.384109,0.384109,0.000000,0.079459,1.147787,-0.600267
0.081403,0.081403,0.000000,0.026819,0.740599,-0.600065
0.054485,0.054485,0.000000,0.017385,0.667631,-0.600028
0.054485,0.054485,0.000000,0.017385,0.667631,-0.600028
0.054485,0.054485,0.000000,0.017385,0.667631,-0.600028
0.054485,0.054485,0.000000,0.017385,0.667631,-0.600028
0.262469,0.262469,0.000000,0.671715,1.206945,-0.597816
0.091058,0.091058,0.000000,0.219506,0.834224,-0.599345
0.058450,0.058450,0.000000,0.092124,0.729232,-0.599776
0.051234,0.051234,0.000000,0.051258,0.695549,-0.599914
0.051234,0.051234,0.000000,0.051258,0.695549,-0.599914
0.051234,0.051234,0.000000,0.051258,0.695549,-0.599914
0.051234,0.051234,0.000000,0.051258,0.695549,-0.599914
0.050617,0.050617,0.000000,0.045122,0.686428,-0.592182
0.050617,0.050617,0.000000,0.045122,0.686428,-0.592182
0.050617,0.050617,0.000000,0.045122,0.686428,-0.592182
0.050617,0.050617,0.000000,0.045122,0.686428,-0.592182
0.050291,0.050291,0.000000,0.037195,0.680850,-0.577982
0.050291,0.050291,0.000000,0.037195,0.680850,-0.577982
0.050291,0.050291,0.000000,0.037195,0.680850,-0.577982
0.050291,0.050291,0.000000,0.037195,0.680850,-0.577982
0.050245,0.050245,0.000000,0.037698,0.682193,-0.572143
0.050245,0.050245,0.000000,0.037698,0.682193,-0.572143
0.050245,0.050245,0.000000,0.037698,0.682193,-0.572143
0.050245,0.050245,0.000000,0.037698,0.682193,-0.572143
0.050091,0.050091,0.000000,0.039158,0.685780,-0.537564
0.050091,0.050091,0.000000,0.039158,0.685780,-0.537564
0.050091,0.050091,0.000000,0.039158,0.685780,-0.537564
0.050091,0.050091,0.000000,0.039158,0.685780,-0.537564
0.049867,0.049867,0.000000,0.041264,0.689554,-0.469667
0.049867,0.049867,0.000000,0.041264,0.689554,-0.469667
0.049867,0.049867,0.000000,0.041264,0.689554,-0.469667
0.049867,0.049867,0.000000,0.041264,0.689554,-0.469667
0.049543,0.049543,0.000000,0.043934,0.692496,-0.350299
0.049543,0.049543,0.000000,0.043934,0.692496,-0.350299
0.049543,0.049543,0.000000,0.043934,0.692496,-0.350299
0.049543,0.049543,0.000000,0.043934,0.692496,-0.350299
0.049177,0.049177,0.000000,0.044632,0.690546,-0.251052
0.049177,0.049177,0.000000,0.044632,0.690546,-0.251052
0.049177,0.049177,0.000000,0.044632,0.690546,-0.251052
0.049177,0.049177,0.000000,0.044632,0.690546,-0.251052
0.048821,0.048821,0.000000,0.042744,0.682845,-0.154504
0.048821,0.048821,0.000000,0.042744,0.682845,-0.154504
0.048821,0.048821,0.000000,0.042744,0.682845,-0.154504
0.048821,0.048821,0.000000,0.042744,0.682845,-0.154504
0.048790,0.048790,0.000000,0.042594,0.681338,-0.098657
0.048790,0.048790,0.000000,0.042594,0.681338,-0.098657
0.048790,0.048790,0.000000,0.042594,0.681338,-0.098657
0.048790,0.048790,0.000000,0.042594,0.681338,-0.098657
0.048787,0.048787,0.000000,0.042188,0.680440,-0.081137
0.048787,0.048787,0.000000,0.042188,0.680440,-0.081137
0.048787,0.048787,0.000000,0.042188,0.680440,-0.081137
0.048787,0.048787,0.000000,0.042188,0.680440,-0.081137
