ttm,moneyness,model_iv,market_iv,diff
0.010958904109589041,0.9679546917097684,0.5355916837619358,0.5336,0.001991683761935814
0.010958904109589041,1.001250896119552,0.40123290591797534,0.5126,0.11136709408202461
0.010958904109589041,1.0346259259902038,0.5420829825693416,0.5202,0.021882982569341625
0.030136986301369864,0.9669232236286694,0.5684801903636789,0.5352,0.03328019036367891
0.030136986301369864,1.0002827465897026,0.5324593096658305,0.5327000000000001,0.00024069033416951324
0.030136986301369864,1.0336075838789225,0.5652778205432453,0.5363,0.02897782054324527
0.030136986301369864,1.0670479584704935,0.6135750166951185,0.5531,0.060475016695118455
0.049315068493150684,0.9327028262228068,0.6253949019185268,0.5841,0.041294901918526805
0.049315068493150684,0.9993217936094038,0.5792401014642131,0.565,0.014240101464213173
0.049315068493150684,1.0659460871117792,0.6167138340605202,0.5907,0.026013834060520158
0.14520547945205478,0.9264639122453383,0.6553999435403751,0.6279,0.027499943540375105
0.14520547945205478,0.9925650262434192,0.648758010848303,0.6214,0.027358010848303027
0.14520547945205478,1.0587416326325345,0.6523920923783957,0.6256,0.026792092378395638
0.14520547945205478,1.1249918934407679,0.6596997969487075,0.6289,0.030799796948707492
0.14520547945205478,1.1910669975186103,0.6703246961538559,0.6504000000000001,0.019924696153855836
0.29863013698630136,0.9165590800889324,0.6722363790589941,0.6726000000000001,0.00036362094100594877
0.29863013698630136,1.0474960915302085,0.6714742877269853,0.6726000000000001,0.001125712273014834
0.29863013698630136,1.1784331029714845,0.6744795959080777,0.6914,0.016920404091922303
0.29863013698630136,1.3093701144127605,0.680730332127794,0.7091,0.02836966787220596
0.547945205479452,0.9008417722903644,0.680761169377068,0.7042,0.02343883062293206
0.547945205479452,1.0295427285970937,0.6807261730539549,0.7042,0.023473826946045162
0.547945205479452,1.1582355696717304,0.6810527941888755,0.7123999999999999,0.03134720581112438
0.547945205479452,1.2869168175576635,0.6824480081313413,0.7297,0.047251991868658694
0.547945205479452,1.544300181069196,0.6871268498679484,0.7529,0.06577315013205165
