cost,rmse,penalty,C,G,M,Y
0.365487,0.365487,0.000000,10.000000,10.000000,10.000000,0.700000
0.365487,0.365487,0.000000,10.000000,10.000000,10.000000,0.700000
0.365487,0.365487,0.000000,10.000000,10.000000,10.000000,0.700000
0.365487,0.365487,0.000000,10.000000,10.000000,10.000000,0.700000
0.365487,0.365487,0.000000,10.000000,10.000000,10.000000,0.700000
0.303965,0.303965,0.000000,9.952290,10.026317,10.033268,-0.497656
0.125901,0.125901,0.000000,9.975079,10.013747,10.017377,0.074416
0.125901,0.125901,0.000000,9.975079,10.013747,10.017377,0.074416
0.125901,0.125901,0.000000,9.975079,10.013747,10.017377,0.074416
0.125901,0.125901,0.000000,9.975079,10.013747,10.017377,0.074416
0.125901,0.125901,0.000000,9.975079,10.013747,10.017377,0.074416
0.047812,0.047812,0.000000,9.985035,10.004542,10.005725,0.243335
0.047812,0.047812,0.000000,9.985035,10.004542,10.005725,0.243335
0.047812,0.047812,0.000000,9.985035,10.004542,10.005725,0.243335
0.047812,0.047812,0.000000,9.985035,10.004542,10.005725,0.243335
0.047812,0.047812,0.000000,9.985035,10.004542,10.005725,0.243335
0.780364,0.780364,0.000000,10.022025,9.972775,9.971565,0.969279
0.050287,0.050287,0.000000,9.990127,10.000169,10.001023,0.343262
0.036838,0.036838,0.000000,9.987426,10.002488,10.003517,0.290265
0.036838,0.036838,0.000000,9.987426,10.002488,10.003517,0.290265
0.036838,0.036838,0.000000,9.987426,10.002488,10.003517,0.290265
0.036838,0.036838,0.000000,9.987426,10.002488,10.003517,0.290265
0.036838,0.036838,0.000000,9.987426,10.002488,10.003517,0.290265
0.036818,0.036818,0.000000,9.987404,10.001669,10.004550,0.293252
0.036818,0.036818,0.000000,9.987404,10.001669,10.004550,0.293252
0.036818,0.036818,0.000000,9.987404,10.001669,10.004550,0.293252
0.036818,0.036818,0.000000,9.987404,10.001669,10.004550,0.293252
0.036818,0.036818,0.000000,9.987404,10.001669,10.004550,0.293252
0.036812,0.036812,0.000000,9.987254,10.001186,10.005379,0.292378
0.036812,0.036812,0.000000,9.987254,10.001186,10.005379,0.292378
0.036812,0.036812,0.000000,9.987254,10.001186,10.005379,0.292378
0.036812,0.036812,0.000000,9.987254,10.001186,10.005379,0.292378
0.036812,0.036812,0.000000,9.987254,10.001186,10.005379,0.292378
0.036810,0.036810,0.000000,9.987037,10.000217,10.006908,0.292245
0.036810,0.036810,0.000000,9.987038,10.000217,10.006908,0.292245
0.036810,0.036810,0.000000,9.987037,10.000217,10.006908,0.292245
0.036810,0.036810,0.000000,9.987037,10.000217,10.006908,0.292245
0.036810,0.036810,0.000000,9.987037,10.000217,10.006908,0.292245
0.036794,0.036794,0.000000,9.985515,9.993216,10.017876,0.292072
0.036794,0.036794,0.000000,9.985515,9.993216,10.017876,0.292072
0.036794,0.036794,0.000000,9.985515,9.993216,10.017876,0.292072
0.036794,0.036794,0.000000,9.985515,9.993216,10.017876,0.292072
0.036794,0.036794,0.000000,9.985515,9.993216,10.017876,0.292072
0.036714,0.036714,0.000000,9.975867,9.948451,10.087832,0.292428
0.036714,0.036714,0.000000,9.975867,9.948451,10.087832,0.292428
0.036714,0.036714,0.000000,9.975867,9.948451,10.087832,0.292428
0.036714,0.036714,0.000000,9.975867,9.948451,10.087832,0.292428
0.036714,0.036714,0.000000,9.975867,9.948451,10.087832,0.292428
0.036550,0.036550,0.000000,9.950189,9.828652,10.274709,0.295402
0.036550,0.036550,0.000000,9.950189,9.828652,10.274709,0.295402
0.036550,0.036550,0.000000,9.950189,9.828652,10.274709,0.295402
0.036550,0.036550,0.000000,9.950189,9.828652,10.274709,0.295402
0.036550,0.036550,0.000000,9.950189,9.828652,10.274709,0.295402
0.036337,0.036337,0.000000,9.907632,9.629207,10.585313,0.302437
0.036337,0.036337,0.000000,9.907632,9.629207,10.585313,0.302437
0.036337,0.036337,0.000000,9.907632,9.629207,10.585313,0.302437
0.036337,0.036337,0.000000,9.907632,9.629207,10.585313,0.302437
0.036337,0.036337,0.000000,9.907632,9.629207,10.585313,0.302437
0.036257,0.036257,0.000000,9.869160,9.448111,10.866750,0.310006
0.036257,0.036257,0.000000,9.869160,9.448111,10.866750,0.310006
0.036257,0.036257,0.000000,9.869160,9.448111,10.866750,0.310006
0.036257,0.036257,0.000000,9.869160,9.448111,10.866750,0.310006
0.036257,0.036257,0.000000,9.869160,9.448111,10.866750,0.310006
0.036249,0.036249,0.000000,9.877761,9.488105,10.804081,0.308913
0.036249,0.036249,0.000000,9.877761,9.488105,10.804081,0.308913
0.036249,0.036249,0.000000,9.877761,9.488105,10.804081,0.308913
0.036249,0.036249,0.000000,9.877761,9.488105,10.804081,0.308913
0.036249,0.036249,0.000000,9.877761,9.488105,10.804081,0.308913
0.036245,0.036245,0.000000,9.884342,9.518119,10.756354,0.308582
0.036245,0.036245,0.000000,9.884342,9.518119,10.756354,0.308582
0.036245,0.036245,0.000000,9.884342,9.518119,10.756354,0.308582
0.036245,0.036245,0.000000,9.884342,9.518119,10.756354,0.308582
0.036245,0.036245,0.000000,9.884342,9.518119,10.756354,0.308582
