cost,rmse,penalty,C,G,M,Y
0.213657,0.213657,0.000000,10.000000,10.000000,10.000000,0.700000
0.213657,0.213657,0.000000,10.000000,10.000000,10.000000,0.700000
0.213657,0.213657,0.000000,10.000000,10.000000,10.000000,0.700000
0.213657,0.213657,0.000000,10.000000,10.000000,10.000000,0.700000
0.213657,0.213657,0.000000,10.000000,10.000000,10.000000,0.700000
0.420445,0.420445,0.000000,9.965332,10.020117,10.025700,-0.147570
0.211853,0.211853,0.000000,9.986531,10.007816,10.009985,0.370706
0.151696,0.151696,0.000000,9.993222,10.003933,10.005025,0.534285
0.151696,0.151696,0.000000,9.993222,10.003933,10.005025,0.534285
0.151696,0.151696,0.000000,9.993222,10.003933,10.005025,0.534285
0.151696,0.151696,0.000000,9.993222,10.003933,10.005025,0.534285
0.151696,0.151696,0.000000,9.993222,10.003933,10.005025,0.534285
0.150295,0.150295,0.000000,9.992659,10.005608,10.008573,0.555137
0.150295,0.150295,0.000000,9.992659,10.005608,10.008573,0.555137
0.150295,0.150295,0.000000,9.992659,10.005608,10.008573,0.555137
0.150295,0.150295,0.000000,9.992659,10.005608,10.008573,0.555137
0.150295,0.150295,0.000000,9.992659,10.005608,10.008573,0.555137
0.150248,0.150248,0.000000,9.990786,10.008569,10.013942,0.557519
0.150248,0.150248,0.000000,9.990786,10.008569,10.013942,0.557519
0.150248,0.150248,0.000000,9.990786,10.008569,10.013942,0.557519
0.150248,0.150248,0.000000,9.990786,10.008569,10.013942,0.557519
0.150248,0.150248,0.000000,9.990786,10.008569,10.013942,0.557519
0.150134,0.150134,0.000000,9.983563,10.019786,10.034149,0.561580
0.150134,0.150134,0.000000,9.983563,10.019786,10.034149,0.561580
0.150134,0.150134,0.000000,9.983563,10.019786,10.034149,0.561580
0.150134,0.150134,0.000000,9.983563,10.019786,10.034149,0.561580
0.150134,0.150134,0.000000,9.983563,10.019786,10.034149,0.561580
0.149797,0.149797,0.000000,9.956989,10.060854,10.107941,0.571187
0.149797,0.149797,0.000000,9.956989,10.060854,10.107941,0.571187
0.149797,0.149797,0.000000,9.956989,10.060854,10.107941,0.571187
0.149797,0.149797,0.000000,9.956989,10.060854,10.107941,0.571187
0.149797,0.149797,0.000000,9.956989,10.060854,10.107941,0.571187
0.149032,0.149032,0.000000,9.888656,10.166201,10.296884,0.589238
0.149032,0.149032,0.000000,9.888656,10.166201,10.296884,0.589238
0.149032,0.149032,0.000000,9.888656,10.166201,10.296884,0.589238
0.149032,0.149032,0.000000,9.888656,10.166201,10.296884,0.589238
0.149032,0.149032,0.000000,9.888656,10.166201,10.296884,0.589238
0.147374,0.147374,0.000000,9.728078,10.413370,10.739487,0.622477
0.147374,0.147374,0.000000,9.728078,10.413370,10.739487,0.622477
0.147374,0.147374,0.000000,9.728078,10.413370,10.739487,0.622477
0.147374,0.147374,0.000000,9.728078,10.413370,10.739487,0.622477
0.147374,0.147374,0.000000,9.728078,10.413370,10.739487,0.622477
0.144334,0.144334,0.000000,9.443649,10.850470,11.520923,0.668717
0.144334,0.144334,0.000000,9.443649,10.850470,11.520923,0.668717
0.144334,0.144334,0.000000,9.443649,10.850470,11.520923,0.668717
0.144334,0.144334,0.000000,9.443649,10.850470,11.520923,0.668717
0.144334,0.144334,0.000000,9.443649,10.850470,11.520923,0.668717
0.138346,0.138346,0.000000,8.959598,11.592845,12.845970,0.728379
0.138346,0.138346,0.000000,8.959598,11.592845,12.845970,0.728379
0.138346,0.138346,0.000000,8.959598,11.592845,12.845970,0.728379
0.138346,0.138346,0.000000,8.959598,11.592845,12.845970,0.728379
0.138346,0.138346,0.000000,8.959598,11.592845,12.845970,0.728379
0.128744,0.128744,0.000000,8.239704,12.693967,14.808149,0.791253
0.128744,0.128744,0.000000,8.239704,12.693967,14.808149,0.791253
0.128744,0.128744,0.000000,8.239704,12.693967,14.808149,0.791253
0.128744,0.128744,0.000000,8.239704,12.693967,14.808149,0.791253
0.128744,0.128744,0.000000,8.239704,12.693967,14.808149,0.791253
0.121935,0.121935,0.000000,7.348418,14.055865,17.232875,0.868723
0.121935,0.121935,0.000000,7.348418,14.055865,17.232875,0.868723
0.121935,0.121935,0.000000,7.348418,14.055865,17.232875,0.868723
0.121935,0.121935,0.000000,7.348418,14.055865,17.232875,0.868723
0.121935,0.121935,0.000000,7.348418,14.055865,17.232875,0.868723
0.116111,0.116111,0.000000,6.087415,15.980541,20.657789,0.974521
0.116111,0.116111,0.000000,6.087415,15.980541,20.657789,0.974521
0.116111,0.116111,0.000000,6.087415,15.980541,20.657789,0.974521
0.116111,0.116111,0.000000,6.087415,15.980541,20.657789,0.974521
0.116111,0.116111,0.000000,6.087415,15.980541,20.657789,0.974521
0.111554,0.111554,0.000000,4.268812,18.747323,25.577729,1.096274
0.111554,0.111554,0.000000,4.268812,18.747323,25.577729,1.096274
0.111554,0.111554,0.000000,4.268812,18.747323,25.577729,1.096274
0.111554,0.111554,0.000000,4.268812,18.747323,25.577729,1.096274
0.111554,0.111554,0.000000,4.268812,18.747323,25.577729,1.096274
0.111217,0.111217,0.000000,2.307341,21.744707,30.910518,1.267846
0.108812,0.108812,0.000000,3.242410,20.315799,28.368280,1.186054
0.108812,0.108812,0.000000,3.242410,20.315799,28.368280,1.186054
0.108812,0.108812,0.000000,3.242410,20.315799,28.368280,1.186054
0.108812,0.108812,0.000000,3.242410,20.315799,28.368280,1.186054
0.108812,0.108812,0.000000,3.242410,20.315799,28.368280,1.186054
0.109822,0.109822,0.000000,2.925975,20.817144,29.260016,1.240942
0.107317,0.107317,0.000000,3.105099,20.533349,28.755233,1.209872
0.107317,0.107317,0.000000,3.105099,20.533349,28.755233,1.209872
0.107317,0.107317,0.000000,3.105099,20.533349,28.755233,1.209872
0.107317,0.107317,0.000000,3.105099,20.533349,28.755233,1.209872
0.107317,0.107317,0.000000,3.105099,20.533349,28.755233,1.209872
0.106622,0.106622,0.000000,2.164317,21.976681,31.322081,1.295698
0.106622,0.106622,0.000000,2.164317,21.976681,31.322081,1.295698
0.106622,0.106622,0.000000,2.164317,21.976681,31.322081,1.295698
0.106622,0.106622,0.000000,2.164317,21.976681,31.322081,1.295698
0.106622,0.106622,0.000000,2.164317,21.976681,31.322081,1.295698
0.106449,0.106449,0.000000,2.647995,21.238927,30.009256,1.254700
0.106074,0.106074,0.000000,2.423059,21.582022,30.619788,1.273766
0.106074,0.106074,0.000000,2.423059,21.582022,30.619788,1.273766
0.106074,0.106074,0.000000,2.423059,21.582022,30.619788,1.273766
0.106074,0.106074,0.000000,2.423059,21.582022,30.619789,1.273766
0.106074,0.106074,0.000000,2.423059,21.582022,30.619788,1.273766
0.105626,0.105626,0.000000,2.215038,21.906783,31.196554,1.297805
0.105626,0.105626,0.000000,2.215038,21.906783,31.196554,1.297805
0.105626,0.105626,0.000000,2.215038,21.906783,31.196554,1.297805
0.105626,0.105626,0.000000,2.215038,21.906783,31.196554,1.297805
0.105626,0.105626,0.000000,2.215038,21.906783,31.196554,1.297805
0.110404,0.110404,0.000000,1.314575,23.310016,33.688687,1.398610
0.105430,0.105430,0.000000,2.101497,22.083720,31.510792,1.310516
0.105430,0.105430,0.000000,2.101497,22.083720,31.510792,1.310516
0.105430,0.105430,0.000000,2.101497,22.083720,31.510792,1.310516
0.105430,0.105430,0.000000,2.101497,22.083720,31.510792,1.310516
0.105430,0.105430,0.000000,2.101497,22.083720,31.510792,1.310516
0.177309,0.177309,0.000000,0.663387,24.331198,35.501259,1.475756
0.105202,0.105202,0.000000,1.957686,22.308467,31.909838,1.327040
0.105202,0.105202,0.000000,1.957686,22.308467,31.909838,1.327040
0.105202,0.105202,0.000000,1.957686,22.308467,31.909838,1.327040
0.105202,0.105202,0.000000,1.957686,22.308467,31.909838,1.327040
0.105202,0.105202,0.000000,1.957686,22.308467,31.909838,1.327040
0.107963,0.107963,0.000000,1.285457,23.364590,33.783873,1.407879
0.105053,0.105053,0.000000,1.859520,22.462694,32.183505,1.338845
0.105053,0.105053,0.000000,1.859520,22.462694,32.183505,1.338845
0.105053,0.105053,0.000000,1.859520,22.462694,32.183505,1.338845
