cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.098903,0.091269,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.095398,0.088766,0.006632,2.015332,-0.042429,0.331360,0.933195,0.498978,0.997252,0.000697,0.057286
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.088603,0.081575,0.007028,2.032412,-0.037999,0.269667,0.990528,0.497067,0.998488,0.000383,0.076500
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.025790,0.020334,0.005456,1.922367,-0.068780,0.327964,0.604300,0.511250,0.989630,-0.002170,0.000010
0.125767,0.121234,0.004533,1.739506,-0.124478,0.330000,0.000010,0.540056,0.975609,0.000685,0.000010
0.023501,0.018377,0.005124,1.873279,-0.083731,0.328510,0.442082,0.518983,0.985866,-0.001403,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.013893,0.008623,0.005269,1.895874,-0.076849,0.328259,0.516749,0.515423,0.987599,-0.001756,0.000010
0.014199,0.008946,0.005253,1.893373,-0.069682,0.322547,0.528223,0.514220,0.985711,-0.001699,0.002042
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013877,0.008611,0.005266,1.895421,-0.075551,0.327224,0.518828,0.515205,0.987257,-0.001746,0.000378
0.013788,0.008564,0.005224,1.890073,-0.065407,0.327262,0.518617,0.513889,0.984223,-0.001675,0.000644
0.013788,0.008564,0.005224,1.890073,-0.065407,0.327262,0.518617,0.513889,0.984223,-0.001675,0.000644
