cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.065670,0.058036,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.380207,0.368012,0.012195,2.082814,-0.020525,0.909461,1.154417,0.489317,1.005128,0.017001,0.210713
0.119361,0.110670,0.008691,2.062587,-0.028788,0.419272,1.090153,0.493027,1.001613,0.005349,0.134837
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.036558,0.028564,0.007994,2.056820,-0.031144,0.279493,1.071828,0.494085,1.000611,0.002027,0.113200
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.033652,0.025841,0.007811,2.056763,-0.028434,0.251455,1.075495,0.492994,0.998914,0.004215,0.105430
0.032671,0.024635,0.008036,2.058385,-0.025203,0.258282,1.083943,0.491852,0.998644,0.009580,0.114474
