cost,rmse,penalty,C,G,M,Y
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.085057,0.085057,0.000000,1.778944,25.494904,28.714353,1.357651
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.065559,0.065559,0.000000,2.117551,24.864544,27.953596,1.333539
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
0.061007,0.061007,0.000000,2.231616,24.656265,27.702172,1.326752
0.058390,0.058390,0.000000,3.086260,23.032897,25.742595,1.252307
0.058390,0.058390,0.000000,3.086260,23.032897,25.742595,1.252307
0.058390,0.058390,0.000000,3.086260,23.032897,25.742595,1.252307
0.058390,0.058390,0.000000,3.086260,23.032897,25.742595,1.252307
0.058390,0.058390,0.000000,3.086260,23.032897,25.742595,1.252307
0.058679,0.058679,0.000000,2.302234,24.530578,27.550379,1.323599
0.057995,0.057995,0.000000,2.767259,23.642267,26.478139,1.281314
0.057995,0.057995,0.000000,2.767259,23.642267,26.478139,1.281314
0.057995,0.057995,0.000000,2.767259,23.642267,26.478139,1.281314
0.057995,0.057995,0.000000,2.767259,23.642267,26.478139,1.281314
0.057995,0.057995,0.000000,2.767259,23.642267,26.478139,1.281314
0.057445,0.057445,0.000000,2.337771,24.473730,27.481613,1.324174
0.057445,0.057445,0.000000,2.337771,24.473730,27.481613,1.324174
0.057445,0.057445,0.000000,2.337771,24.473730,27.481613,1.324174
0.057445,0.057445,0.000000,2.337771,24.473730,27.481613,1.324174
0.057445,0.057445,0.000000,2.337771,24.473730,27.481613,1.324174
0.057179,0.057179,0.000000,2.169003,24.820217,27.899413,1.347567
0.057179,0.057179,0.000000,2.169003,24.820217,27.899413,1.347567
0.057179,0.057179,0.000000,2.169003,24.820217,27.899413,1.347567
0.057179,0.057179,0.000000,2.169003,24.820217,27.899413,1.347567
0.057179,0.057179,0.000000,2.169003,24.820217,27.899413,1.347567
0.059786,0.059786,0.000000,1.509323,26.110523,29.456226,1.417270
0.056927,0.056927,0.000000,2.055274,25.042667,28.167809,1.359584
0.056927,0.056927,0.000000,2.055274,25.042667,28.167809,1.359584
0.056927,0.056927,0.000000,2.055274,25.042667,28.167809,1.359584
0.056927,0.056927,0.000000,2.055274,25.042667,28.167809,1.359584
0.056927,0.056927,0.000000,2.055274,25.042667,28.167809,1.359584
