cost,rmse,penalty,C,G,M,Y
0.310644,0.310644,0.000000,10.000000,10.000000,10.000000,0.700000
0.310644,0.310644,0.000000,10.000000,10.000000,10.000000,0.700000
0.310644,0.310644,0.000000,10.000000,10.000000,10.000000,0.700000
0.310644,0.310644,0.000000,10.000000,10.000000,10.000000,0.700000
0.310644,0.310644,0.000000,10.000000,10.000000,10.000000,0.700000
0.368110,0.368110,0.000000,9.952533,10.025601,10.033171,-0.494563
0.162063,0.162063,0.000000,9.977183,10.012306,10.015945,0.125779
0.162063,0.162063,0.000000,9.977183,10.012306,10.015945,0.125779
0.162063,0.162063,0.000000,9.977183,10.012307,10.015945,0.125779
0.162063,0.162063,0.000000,9.977183,10.012306,10.015945,0.125779
0.162063,0.162063,0.000000,9.977183,10.012306,10.015945,0.125779
0.072127,0.072127,0.000000,9.986932,10.004724,10.003464,0.293738
0.072127,0.072127,0.000000,9.986932,10.004724,10.003464,0.293738
0.072127,0.072127,0.000000,9.986932,10.004724,10.003464,0.293738
0.072127,0.072127,0.000000,9.986932,10.004724,10.003464,0.293738
0.072127,0.072127,0.000000,9.986932,10.004724,10.003464,0.293738
1.249117,1.249117,0.000000,10.033516,9.970199,9.951701,1.183836
0.055063,0.055063,0.000000,9.993576,9.999800,9.996082,0.420679
0.055063,0.055063,0.000000,9.993576,9.999800,9.996082,0.420679
0.055063,0.055063,0.000000,9.993576,9.999800,9.996082,0.420679
0.055063,0.055063,0.000000,9.993576,9.999800,9.996082,0.420679
0.055063,0.055063,0.000000,9.993576,9.999800,9.996082,0.420679
0.044924,0.044924,0.000000,9.991269,10.000727,9.996989,0.359321
0.044924,0.044924,0.000000,9.991269,10.000727,9.996989,0.359321
0.044924,0.044924,0.000000,9.991269,10.000727,9.996989,0.359321
0.044924,0.044924,0.000000,9.991269,10.000727,9.996989,0.359321
0.044924,0.044924,0.000000,9.991269,10.000727,9.996989,0.359321
0.043218,0.043218,0.000000,9.992635,9.999148,9.994499,0.376782
0.043218,0.043218,0.000000,9.992635,9.999148,9.994499,0.376782
0.043218,0.043218,0.000000,9.992635,9.999148,9.994499,0.376782
0.043218,0.043218,0.000000,9.992635,9.999148,9.994499,0.376782
0.043218,0.043218,0.000000,9.992635,9.999148,9.994499,0.376782
0.043207,0.043207,0.000000,9.993207,9.997952,9.992518,0.375749
0.043207,0.043207,0.000000,9.993207,9.997952,9.992518,0.375749
0.043207,0.043207,0.000000,9.993207,9.997952,9.992518,0.375749
0.043207,0.043207,0.000000,9.993207,9.997952,9.992518,0.375749
0.043207,0.043207,0.000000,9.993207,9.997952,9.992518,0.375749
0.043195,0.043195,0.000000,9.994611,9.995120,9.987842,0.374915
0.043195,0.043195,0.000000,9.994611,9.995120,9.987842,0.374915
0.043195,0.043195,0.000000,9.994611,9.995120,9.987842,0.374915
0.043195,0.043195,0.000000,9.994611,9.995120,9.987842,0.374915
0.043195,0.043195,0.000000,9.994611,9.995120,9.987842,0.374915
0.043128,0.043128,0.000000,10.004023,9.976232,9.956680,0.371036
0.043128,0.043128,0.000000,10.004023,9.976232,9.956680,0.371036
0.043128,0.043128,0.000000,10.004023,9.976232,9.956680,0.371036
0.043128,0.043128,0.000000,10.004023,9.976232,9.956680,0.371036
0.043128,0.043128,0.000000,10.004023,9.976232,9.956680,0.371036
0.042983,0.042983,0.000000,10.027496,9.929224,9.879165,0.363338
0.042983,0.042983,0.000000,10.027496,9.929224,9.879165,0.363338
0.042983,0.042983,0.000000,10.027496,9.929224,9.879165,0.363338
0.042983,0.042983,0.000000,10.027496,9.929224,9.879165,0.363338
0.042983,0.042983,0.000000,10.027496,9.929224,9.879165,0.363338
0.042498,0.042498,0.000000,10.107438,9.769240,9.615418,0.340127
0.042498,0.042498,0.000000,10.107438,9.769240,9.615418,0.340127
0.042498,0.042498,0.000000,10.107438,9.769240,9.615418,0.340127
0.042498,0.042498,0.000000,10.107438,9.769240,9.615418,0.340127
