cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.026430,0.022783,0.003648,3.025189,0.154139,0.255262,0.806156,0.929799
0.026430,0.022783,0.003648,3.025189,0.154139,0.255262,0.806156,0.929799
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026393,0.022796,0.003597,3.062920,0.154576,0.255710,0.799467,0.881655
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026335,0.022800,0.003535,3.130772,0.159248,0.255513,0.789574,0.795276
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026273,0.022774,0.003498,3.207232,0.166498,0.254210,0.781920,0.698541
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648079
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648079
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648079
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648079
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648079
0.026238,0.022731,0.003507,3.247914,0.174198,0.252565,0.780898,0.648080
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026230,0.022690,0.003541,3.255518,0.184329,0.251963,0.780157,0.639621
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
0.026228,0.022661,0.003567,3.248132,0.189973,0.251900,0.780984,0.650489
