cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.551477,0.548300,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.235223,0.231145,0.004078,2.999447,-0.053702,0.990455,0.535375,0.991141
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.172124,0.165076,0.007048,2.975062,0.028780,1.941869,0.745458,0.970803
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.093494,0.087869,0.005625,2.999485,-0.023263,1.572405,0.624310,0.978832
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.088793,0.083403,0.005390,3.019451,-0.062470,1.513198,0.516593,0.985317
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.077762,0.072145,0.005617,3.042292,-0.100306,1.587208,0.406179,0.990498
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.068811,0.061959,0.006852,3.134994,-0.232497,1.822593,0.000010,1.011915
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065725,0.059432,0.006293,3.100686,-0.171140,1.746702,0.155794,1.001045
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065528,0.059236,0.006292,3.108856,-0.170161,1.746067,0.132496,1.001617
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.065377,0.059096,0.006281,3.116999,-0.159389,1.751847,0.117658,1.000518
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064739,0.058583,0.006156,3.159519,-0.077301,1.764346,0.065698,0.991391
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064290,0.058160,0.006130,3.198629,0.017211,1.765621,0.039671,0.980643
0.064097,0.057922,0.006175,3.219446,0.077598,1.758536,0.043629,0.973389
0.064097,0.057922,0.006175,3.219446,0.077598,1.758536,0.043629,0.973389
0.064097,0.057922,0.006175,3.219446,0.077598,1.758536,0.043629,0.973389
0.064097,0.057922,0.006175,3.219446,0.077598,1.758536,0.043629,0.973389
0.064097,0.057922,0.006175,3.219446,0.077598,1.758536,0.043629,0.973389
