cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.301482,0.298304,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.120919,0.116913,0.004006,2.999920,-0.045296,0.924255,0.598513,0.986361
0.102935,0.099088,0.003847,2.995872,-0.028643,0.803879,0.659493,0.981164
0.102935,0.099088,0.003847,2.995872,-0.028643,0.803879,0.659493,0.981164
0.102935,0.099088,0.003847,2.995872,-0.028642,0.803879,0.659493,0.981164
0.102935,0.099088,0.003847,2.995872,-0.028643,0.803879,0.659493,0.981164
0.102935,0.099088,0.003847,2.995872,-0.028643,0.803879,0.659493,0.981164
0.102935,0.099088,0.003847,2.995872,-0.028643,0.803879,0.659493,0.981164
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.076722,0.072676,0.004046,2.982755,0.055016,0.621055,0.966288,0.957603
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.046623,0.041736,0.004887,2.983513,0.142725,0.576466,1.302862,0.934481
0.060332,0.054890,0.005442,2.994625,0.165733,0.686985,1.431090,0.923819
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039879,0.034798,0.005082,2.987570,0.151126,0.616819,1.349681,0.930588
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039681,0.034721,0.004960,2.987749,0.133888,0.621650,1.321898,0.928211
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.039515,0.034572,0.004942,2.989728,0.122794,0.618940,1.330215,0.922514
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038631,0.033786,0.004845,3.006034,0.024198,0.612037,1.374556,0.876261
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038130,0.033194,0.004937,3.024388,-0.091191,0.612322,1.403171,0.824838
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038026,0.033007,0.005018,3.031926,-0.136743,0.615614,1.402319,0.804650
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038012,0.032983,0.005029,3.034620,-0.144983,0.617029,1.399413,0.798756
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.038001,0.032973,0.005027,3.038029,-0.148487,0.617898,1.396874,0.792249
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037958,0.032954,0.005004,3.052382,-0.155279,0.619831,1.388739,0.765904
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037868,0.032926,0.004942,3.085981,-0.163111,0.622039,1.373739,0.705265
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037683,0.032863,0.004820,3.164326,-0.172856,0.623983,1.345357,0.564969
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037434,0.032715,0.004719,3.280845,-0.180413,0.623182,1.313479,0.357255
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037196,0.032511,0.004686,3.382261,-0.173260,0.618826,1.297224,0.178859
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.037008,0.032433,0.004575,3.437829,-0.125070,0.613336,1.292592,0.089408
0.036910,0.032385,0.004525,3.463876,-0.074834,0.610026,1.301728,0.053659
0.036910,0.032385,0.004525,3.463877,-0.074834,0.610026,1.301728,0.053659
0.036910,0.032385,0.004525,3.463876,-0.074834,0.610026,1.301728,0.053659
0.036910,0.032385,0.004525,3.463876,-0.074834,0.610026,1.301728,0.053659
0.036910,0.032385,0.004525,3.463876,-0.074834,0.610026,1.301728,0.053659
0.036910,0.032385,0.004525,3.463876,-0.074834,0.610026,1.301728,0.053659
0.036871,0.032386,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
0.036868,0.032383,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
0.036871,0.032385,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
0.036871,0.032386,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
0.036871,0.032386,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
0.036870,0.032385,0.004485,3.503314,0.002860,0.609248,1.288203,0.000010
8.656065,0.822060,7.834005,196.290936,1.000000,10.861818,0.000010,0.000010
2.613992,0.583265,2.030727,99.872863,0.501304,5.734243,0.644269,0.000010
1.001174,0.455366,0.545808,51.680834,0.252045,3.171360,0.966284,0.000010
0.495233,0.337992,0.157240,27.589359,0.127438,1.890160,1.127262,0.000010
0.286931,0.235539,0.051392,15.545046,0.065142,1.249635,1.207741,0.000010
0.174678,0.154106,0.020572,9.523476,0.033997,0.929404,1.247977,0.000010
0.105965,0.095277,0.010687,6.513007,0.018427,0.769306,1.268093,0.000010
0.065826,0.058700,0.007126,5.007966,0.010642,0.689267,1.278149,0.000010
0.046278,0.040588,0.005690,4.255559,0.006751,0.649253,1.283177,0.000010
0.039146,0.034087,0.005059,3.879410,0.004805,0.629249,1.285690,0.000010
0.037212,0.032447,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.037214,0.032449,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.037214,0.032449,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.037212,0.032447,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.037212,0.032447,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.037226,0.032460,0.004765,3.691356,0.003832,0.619248,1.286947,0.000010
0.062876,0.048731,0.014144,4.185793,-0.927017,0.689215,1.253535,0.000010
0.045683,0.038411,0.007272,3.938439,-0.461338,0.654213,1.270250,0.000010
0.040102,0.034628,0.005474,3.814853,-0.228669,0.636724,1.278601,0.000010
0.038283,0.033300,0.004983,3.753089,-0.112390,0.627984,1.282775,0.000010
0.037641,0.032800,0.004840,3.722217,-0.054268,0.623615,1.284861,0.000010
0.037408,0.032614,0.004794,3.706784,-0.025214,0.621432,1.285904,0.000010
0.037301,0.032523,0.004777,3.699069,-0.010689,0.620340,1.286426,0.000010
0.037257,0.032486,0.004771,3.695212,-0.003427,0.619794,1.286686,0.000010
0.037237,0.032469,0.004768,3.693284,0.000203,0.619521,1.286816,0.000010
0.037224,0.032457,0.004766,3.692320,0.002018,0.619385,1.286882,0.000010
0.037220,0.032454,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.037220,0.032454,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.037221,0.032455,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.037220,0.032454,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.037220,0.032454,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.037233,0.032467,0.004766,3.691838,0.002925,0.619317,1.286914,0.000010
0.149589,0.137646,0.011943,0.542522,-1.000000,0.546877,1.258971,0.000010
0.065845,0.060507,0.005338,2.119191,-0.497897,0.583143,1.272960,0.000010
0.043069,0.038769,0.004300,2.906027,-0.247323,0.601242,1.279942,0.000010
0.037722,0.033377,0.004346,3.299037,-0.122165,0.610281,1.283429,0.000010
0.036869,0.032360,0.004509,3.495446,-0.059617,0.614799,1.285172,0.000010
0.036906,0.032280,0.004626,3.593636,-0.028348,0.617058,1.286043,0.000010
0.037025,0.032332,0.004693,3.642731,-0.012713,0.618187,1.286478,0.000010
0.037117,0.032389,0.004728,3.667281,-0.004895,0.618752,1.286696,0.000010
0.037164,0.032417,0.004747,3.679557,-0.000986,0.619034,1.286805,0.000010
