cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.076431,0.073254,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.049874,0.046606,0.003268,3.000439,-0.061174,0.359099,0.571455,0.987121
0.194480,0.190132,0.004348,3.000367,0.088297,0.000010,1.258060,0.941822
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.029666,0.026284,0.003382,3.000421,-0.024015,0.269829,0.742146,0.975859
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.028331,0.025058,0.003273,2.993027,-0.026491,0.275009,0.664014,0.978637
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.027084,0.023786,0.003298,2.996032,-0.012415,0.281698,0.683491,0.977015
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026831,0.023524,0.003307,2.995909,0.007218,0.272994,0.697187,0.975025
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.026434,0.023135,0.003299,2.995681,0.027203,0.275130,0.687031,0.974150
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.025224,0.021719,0.003506,2.995779,0.165211,0.281552,0.649644,0.967642
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024944,0.021213,0.003730,2.996254,0.225207,0.281108,0.646036,0.965101
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
0.024887,0.021046,0.003841,2.996889,0.248080,0.279567,0.649241,0.963959
