cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.095207,0.092655,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.241399,0.238323,0.003075,2.658101,0.001386,0.617950,0.820075,0.092320,1.299315,-0.244831,0.000010,0.000010
0.089703,0.087047,0.002656,2.662653,0.001612,0.301386,0.854668,0.092332,1.294168,-0.201920,0.000010,0.007073
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.078527,0.075923,0.002604,2.663502,0.001655,0.242353,0.861119,0.092334,1.293208,-0.193918,0.000010,0.008390
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.050742,0.048641,0.002101,2.640747,0.000381,0.306947,0.716619,0.092832,1.286809,-0.095005,0.000010,0.000010
0.083467,0.081577,0.001890,2.549707,-0.006384,0.495731,0.000010,0.095872,1.279287,0.182831,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439140,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.019952,0.018246,0.001705,2.605495,-0.002238,0.380047,0.439139,0.094009,1.283896,0.012577,0.000010,0.000010
0.052130,0.050617,0.001514,2.582196,-0.003938,0.357274,0.204169,0.095127,1.284477,0.012744,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.014993,0.013353,0.001640,2.598919,-0.002718,0.373619,0.372818,0.094324,1.284060,0.012624,0.000010,0.000010
0.016885,0.015185,0.001700,2.604330,-0.001019,0.344597,0.463151,0.093887,1.285551,-0.011308,0.000010,0.005932
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013518,0.011858,0.001660,2.601060,-0.002045,0.362134,0.408566,0.094151,1.284650,0.003153,0.000010,0.002353
0.013391,0.011718,0.001673,2.600935,-0.000676,0.365340,0.421128,0.094171,1.284368,0.002110,0.000010,0.002045
0.013391,0.011718,0.001673,2.600935,-0.000676,0.365340,0.421128,0.094171,1.284368,0.002110,0.000010,0.002045
0.013391,0.011718,0.001673,2.600935,-0.000676,0.365340,0.421128,0.094171,1.284368,0.002110,0.000010,0.002045
