cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.441172,0.438620,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693092,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.057227,0.052020,0.005207,2.693091,0.004736,0.921163,1.009513,0.091838,1.314254,-0.433591,0.000015,0.078599
0.089276,0.085731,0.003545,2.691583,0.003226,0.772657,0.934601,0.092127,1.276125,-0.248443,0.000010,0.043877
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.036641,0.032149,0.004493,2.692522,0.004166,0.865120,0.981243,0.091947,1.299865,-0.363720,0.000013,0.065496
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
0.023123,0.019100,0.004024,2.690859,0.004070,0.948080,0.926741,0.092110,1.287805,-0.284445,0.000010,0.040927
