cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.036890,0.034339,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.303048,0.298575,0.004472,2.693096,0.003139,0.585129,1.011880,0.091469,1.310028,-0.405856,0.000016,0.079428
0.074168,0.071278,0.002889,2.671422,0.002051,0.270216,0.903437,0.092128,1.296372,-0.237576,0.000012,0.026733
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.029865,0.027218,0.002647,2.666657,0.001812,0.200996,0.879601,0.092273,1.293370,-0.200587,0.000010,0.015150
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.024164,0.021062,0.003102,2.678296,0.002105,0.152604,0.939645,0.091825,1.298019,-0.274378,0.000013,0.044880
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.022206,0.019255,0.002951,2.672135,0.001312,0.158837,0.902061,0.091838,1.294161,-0.259902,0.000011,0.028026
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156296,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
0.020428,0.017356,0.003072,2.669322,0.000357,0.156295,0.873317,0.091754,1.297251,-0.291716,0.000010,0.015381
