cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028574,0.026556,0.002018,2.640509,-0.000844,0.422583,0.648910,0.093212,1.277221,-0.038648,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641913,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028065,0.026012,0.002053,2.641912,0.000333,0.406349,0.668838,0.093145,1.279542,-0.059936,0.000010,0.000010
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028030,0.025981,0.002049,2.640410,0.001311,0.409040,0.668044,0.093179,1.279186,-0.056798,0.000010,0.001054
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028026,0.025981,0.002045,2.638680,0.002550,0.409501,0.666552,0.093245,1.279157,-0.056075,0.000010,0.001791
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.028007,0.025978,0.002029,2.629068,0.009710,0.410631,0.662500,0.093651,1.279209,-0.053813,0.000010,0.006477
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027952,0.025965,0.001988,2.595522,0.034716,0.412786,0.652308,0.095289,1.279660,-0.048137,0.000010,0.023445
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027847,0.025897,0.001950,2.519246,0.090986,0.415484,0.633430,0.099696,1.281083,-0.038061,0.000010,0.062912
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
0.027693,0.025648,0.002046,2.386491,0.186949,0.417308,0.604359,0.109046,1.284229,-0.024526,0.000010,0.132712
