cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.382557,0.282557,0.100000,0.010000,0.000000,1.000000,0.610503
0.382557,0.282557,0.100000,0.010000,0.000000,1.000000,0.610503
0.382557,0.282557,0.100000,0.010000,0.000000,1.000000,0.610503
0.382557,0.282557,0.100000,0.010000,0.000000,1.000000,0.610503
0.382557,0.282557,0.100000,0.010000,0.000000,1.000000,0.610503
0.822741,0.757901,0.064840,0.359340,0.003408,0.804431,1.604855
0.192033,0.105654,0.086378,0.136290,0.001232,0.929300,0.969970
0.192033,0.105654,0.086378,0.136290,0.001232,0.929300,0.969970
0.192033,0.105654,0.086378,0.136290,0.001232,0.929300,0.969970
0.192033,0.105654,0.086378,0.136290,0.001232,0.929300,0.969970
0.192033,0.105654,0.086378,0.136290,0.001232,0.929300,0.969970
0.136537,0.081929,0.054608,0.135514,-0.009656,0.738840,0.789298
0.136537,0.081929,0.054608,0.135514,-0.009656,0.738840,0.789298
0.136537,0.081929,0.054608,0.135514,-0.009656,0.738840,0.789298
0.136537,0.081929,0.054608,0.135514,-0.009656,0.738840,0.789298
0.136537,0.081929,0.054608,0.135514,-0.009656,0.738840,0.789298
0.050596,0.011979,0.038617,0.120557,-0.004282,0.621305,0.881119
0.050596,0.011979,0.038617,0.120557,-0.004282,0.621305,0.881119
0.050596,0.011979,0.038617,0.120557,-0.004282,0.621305,0.881119
0.050596,0.011979,0.038617,0.120557,-0.004282,0.621305,0.881119
0.050596,0.011979,0.038617,0.120557,-0.004282,0.621305,0.881119
0.032978,0.013723,0.019255,0.157237,0.006628,0.438515,0.880499
0.032978,0.013723,0.019255,0.157237,0.006628,0.438515,0.880499
0.032978,0.013723,0.019255,0.157237,0.006628,0.438515,0.880499
0.032978,0.013723,0.019255,0.157237,0.006628,0.438515,0.880499
0.032978,0.013723,0.019255,0.157237,0.006628,0.438515,0.880499
0.033053,0.032998,0.000054,0.201359,0.037211,0.000010,0.924730
0.023737,0.018875,0.004863,0.179256,0.021891,0.219674,0.902573
0.023737,0.018875,0.004863,0.179257,0.021891,0.219674,0.902573
0.023737,0.018875,0.004863,0.179256,0.021891,0.219674,0.902573
0.023737,0.018875,0.004863,0.179256,0.021891,0.219674,0.902573
0.023737,0.018875,0.004863,0.179256,0.021891,0.219674,0.902573
0.016203,0.016124,0.000079,0.251458,0.039536,0.000010,0.895970
0.016203,0.016124,0.000079,0.251458,0.039536,0.000010,0.895970
0.016203,0.016124,0.000079,0.251458,0.039536,0.000010,0.895970
0.016203,0.016124,0.000079,0.251458,0.039536,0.000010,0.895970
0.016203,0.016124,0.000079,0.251458,0.039536,0.000010,0.895970
0.016202,0.016124,0.000078,0.251152,0.038854,0.001702,0.895818
