cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.326782,0.226782,0.100000,0.010000,0.000000,1.000000,0.610503
0.326782,0.226782,0.100000,0.010000,0.000000,1.000000,0.610503
0.326782,0.226782,0.100000,0.010000,0.000000,1.000000,0.610503
0.326782,0.226782,0.100000,0.010000,0.000000,1.000000,0.610503
0.326782,0.226782,0.100000,0.010000,0.000000,1.000000,0.610503
0.853474,0.788446,0.065027,0.407806,0.003718,0.805363,1.559882
0.234462,0.147161,0.087301,0.144402,0.001256,0.934241,0.931257
0.234462,0.147161,0.087301,0.144402,0.001256,0.934241,0.931257
0.234462,0.147161,0.087301,0.144402,0.001256,0.934241,0.931257
0.234462,0.147161,0.087301,0.144402,0.001256,0.934241,0.931257
0.234462,0.147161,0.087301,0.144402,0.001256,0.934241,0.931257
0.119929,0.064979,0.054950,0.177849,-0.008836,0.741062,0.761397
0.119929,0.064979,0.054950,0.177849,-0.008836,0.741062,0.761397
0.119929,0.064979,0.054950,0.177849,-0.008836,0.741062,0.761397
0.119929,0.064979,0.054950,0.177849,-0.008836,0.741062,0.761397
0.119929,0.064979,0.054950,0.177849,-0.008836,0.741062,0.761397
0.097690,0.057923,0.039767,0.217828,0.003564,0.630231,0.806174
0.097690,0.057923,0.039767,0.217828,0.003564,0.630231,0.806174
0.097690,0.057923,0.039767,0.217828,0.003564,0.630231,0.806174
0.097690,0.057923,0.039767,0.217828,0.003564,0.630231,0.806174
0.097690,0.057923,0.039767,0.217828,0.003564,0.630231,0.806174
0.077967,0.063771,0.014196,0.343355,0.024025,0.375133,0.795364
0.077967,0.063771,0.014196,0.343355,0.024025,0.375133,0.795364
0.077967,0.063771,0.014196,0.343355,0.024025,0.375133,0.795364
0.077967,0.063771,0.014196,0.343355,0.024025,0.375133,0.795364
0.077967,0.063771,0.014196,0.343355,0.024025,0.375133,0.795364
0.072689,0.067185,0.005504,0.386430,0.043358,0.230997,0.812930
0.072689,0.067185,0.005504,0.386430,0.043358,0.230997,0.812930
0.072689,0.067185,0.005504,0.386430,0.043358,0.230997,0.812930
0.072689,0.067185,0.005504,0.386430,0.043358,0.230997,0.812930
0.072689,0.067185,0.005504,0.386430,0.043358,0.230997,0.812930
0.070113,0.069624,0.000489,0.424614,0.068640,0.051145,0.836106
0.070113,0.069624,0.000489,0.424614,0.068640,0.051145,0.836106
0.070113,0.069624,0.000489,0.424614,0.068640,0.051145,0.836106
0.070113,0.069624,0.000489,0.424614,0.068640,0.051145,0.836106
0.070113,0.069624,0.000489,0.424614,0.068640,0.051145,0.836106
0.069653,0.069295,0.000358,0.442436,0.070822,0.033511,0.830773
0.069653,0.069295,0.000358,0.442436,0.070822,0.033511,0.830773
0.069653,0.069295,0.000358,0.442436,0.070822,0.033511,0.830773
0.069653,0.069295,0.000358,0.442436,0.070822,0.033511,0.830773
0.069653,0.069295,0.000358,0.442436,0.070822,0.033511,0.830773
0.069573,0.069308,0.000265,0.457642,0.074823,0.000010,0.830101
0.069573,0.069308,0.000265,0.457642,0.074823,0.000010,0.830101
0.069573,0.069308,0.000265,0.457642,0.074823,0.000010,0.830101
0.069573,0.069308,0.000265,0.457642,0.074823,0.000010,0.830101
0.069573,0.069308,0.000265,0.457642,0.074823,0.000010,0.830101
0.069568,0.069301,0.000266,0.457772,0.074070,0.004300,0.828738
0.069568,0.069301,0.000266,0.457772,0.074070,0.004300,0.828738
0.069568,0.069301,0.000266,0.457772,0.074070,0.004300,0.828738
0.069568,0.069301,0.000266,0.457772,0.074070,0.004300,0.828738
0.069568,0.069301,0.000266,0.457772,0.074070,0.004300,0.828738
0.069566,0.069301,0.000265,0.457096,0.074129,0.003005,0.829180
0.069566,0.069301,0.000265,0.457096,0.074129,0.003005,0.829180
0.069566,0.069301,0.000265,0.457096,0.074129,0.003005,0.829180
0.069566,0.069301,0.000265,0.457096,0.074129,0.003005,0.829180
0.069566,0.069301,0.000265,0.457096,0.074129,0.003005,0.829180
