cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.295016,0.195015,0.100000,0.010000,0.000000,1.000000,0.610503
0.295016,0.195015,0.100000,0.010000,0.000000,1.000000,0.610503
0.295016,0.195015,0.100000,0.010000,0.000000,1.000000,0.610503
0.295016,0.195015,0.100000,0.010000,0.000000,1.000000,0.610503
0.295016,0.195015,0.100000,0.010000,0.000000,1.000000,0.610503
0.909797,0.845002,0.064795,0.348322,0.002741,0.804200,1.604376
0.242494,0.154797,0.087697,0.119916,0.000890,0.936388,0.933398
0.242494,0.154797,0.087697,0.119916,0.000890,0.936388,0.933398
0.242494,0.154797,0.087697,0.119916,0.000890,0.936388,0.933398
0.242494,0.154797,0.087697,0.119916,0.000890,0.936388,0.933398
0.242494,0.154797,0.087697,0.119916,0.000890,0.936388,0.933398
0.074964,0.019581,0.055384,0.113937,-0.008416,0.744110,0.772246
0.074964,0.019581,0.055384,0.113937,-0.008416,0.744110,0.772246
0.074964,0.019581,0.055384,0.113937,-0.008416,0.744110,0.772246
0.074964,0.019581,0.055384,0.113937,-0.008416,0.744110,0.772246
0.074964,0.019581,0.055384,0.113937,-0.008416,0.744110,0.772246
0.082428,0.046202,0.036226,0.095739,-0.005591,0.601798,0.839335
0.064338,0.017998,0.046340,0.105822,-0.007156,0.680650,0.802162
0.064338,0.017998,0.046340,0.105822,-0.007156,0.680650,0.802162
0.064338,0.017998,0.046340,0.105822,-0.007156,0.680650,0.802162
0.064338,0.017998,0.046340,0.105822,-0.007156,0.680650,0.802162
0.064338,0.017998,0.046340,0.105822,-0.007156,0.680650,0.802162
0.029098,0.014670,0.014428,0.116098,-0.003213,0.379658,0.803288
0.029098,0.014670,0.014428,0.116098,-0.003213,0.379658,0.803288
0.029098,0.014670,0.014428,0.116098,-0.003213,0.379658,0.803288
0.029098,0.014670,0.014428,0.116098,-0.003213,0.379658,0.803288
0.029098,0.014670,0.014428,0.116098,-0.003213,0.379658,0.803288
0.016230,0.016099,0.000130,0.167777,0.005323,0.031947,0.802996
0.016230,0.016099,0.000130,0.167777,0.005323,0.031947,0.802996
0.016230,0.016099,0.000130,0.167777,0.005323,0.031947,0.802996
0.016230,0.016099,0.000130,0.167777,0.005323,0.031947,0.802996
0.016230,0.016099,0.000130,0.167777,0.005323,0.031947,0.802997
0.017414,0.017398,0.000016,0.126633,0.002647,0.000010,0.816696
0.015299,0.015239,0.000060,0.151446,0.004261,0.019270,0.808434
0.015299,0.015239,0.000060,0.151446,0.004261,0.019270,0.808434
0.015299,0.015239,0.000060,0.151446,0.004261,0.019270,0.808434
0.015299,0.015239,0.000060,0.151446,0.004261,0.019270,0.808434
0.015299,0.015239,0.000060,0.151446,0.004261,0.019270,0.808434
0.015263,0.015239,0.000024,0.154470,0.004596,0.000010,0.808379
0.015263,0.015239,0.000024,0.154470,0.004596,0.000010,0.808379
0.015263,0.015239,0.000024,0.154470,0.004596,0.000010,0.808379
0.015263,0.015239,0.000024,0.154470,0.004596,0.000010,0.808379
0.015263,0.015239,0.000024,0.154470,0.004596,0.000010,0.808379
