cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.207683,0.107683,0.100000,0.010000,0.000000,1.000000,0.610503
0.207683,0.107683,0.100000,0.010000,0.000000,1.000000,0.610503
0.207683,0.107683,0.100000,0.010000,0.000000,1.000000,0.610503
0.207683,0.107683,0.100000,0.010000,0.000000,1.000000,0.610503
0.207683,0.107683,0.100000,0.010000,0.000000,1.000000,0.610503
0.232633,0.168145,0.064488,0.198825,0.002162,0.802797,0.723443
0.196374,0.111116,0.085258,0.083428,0.000841,0.923314,0.654422
0.196374,0.111116,0.085258,0.083428,0.000841,0.923314,0.654422
0.196374,0.111116,0.085258,0.083428,0.000841,0.923314,0.654422
0.196374,0.111116,0.085258,0.083428,0.000841,0.923314,0.654422
0.196374,0.111116,0.085258,0.083428,0.000841,0.923314,0.654422
0.143022,0.127828,0.015194,0.434164,0.006388,0.387358,0.499415
0.143022,0.127828,0.015194,0.434164,0.006388,0.387358,0.499415
0.143022,0.127828,0.015194,0.434164,0.006388,0.387358,0.499415
0.143022,0.127828,0.015194,0.434164,0.006388,0.387358,0.499415
0.143022,0.127828,0.015194,0.434164,0.006388,0.387358,0.499415
0.120827,0.091756,0.029071,0.307611,0.039546,0.538147,0.575270
0.120827,0.091756,0.029071,0.307611,0.039546,0.538147,0.575270
0.120827,0.091756,0.029071,0.307611,0.039546,0.538147,0.575270
0.120827,0.091756,0.029071,0.307611,0.039546,0.538147,0.575270
0.120827,0.091756,0.029071,0.307611,0.039546,0.538147,0.575270
0.114047,0.093129,0.020918,0.371414,0.077569,0.455190,0.570307
0.114047,0.093129,0.020918,0.371414,0.077569,0.455190,0.570307
0.114047,0.093129,0.020918,0.371414,0.077569,0.455190,0.570307
0.114047,0.093129,0.020918,0.371414,0.077569,0.455190,0.570307
0.114047,0.093129,0.020918,0.371414,0.077569,0.455190,0.570307
0.102330,0.092732,0.009598,0.528776,0.229185,0.296532,0.571098
0.102330,0.092732,0.009598,0.528776,0.229185,0.296532,0.571098
0.102330,0.092732,0.009598,0.528776,0.229185,0.296532,0.571098
0.102330,0.092732,0.009598,0.528776,0.229185,0.296532,0.571098
0.102330,0.092732,0.009598,0.528776,0.229185,0.296532,0.571098
0.124997,0.120135,0.004863,0.874197,0.618714,0.051990,0.552436
0.095933,0.089067,0.006866,0.620045,0.332109,0.231918,0.566167
0.095933,0.089067,0.006866,0.620045,0.332109,0.231918,0.566167
0.095933,0.089067,0.006866,0.620045,0.332109,0.231918,0.566167
0.095933,0.089067,0.006866,0.620045,0.332109,0.231918,0.566167
0.095933,0.089067,0.006866,0.620045,0.332109,0.231918,0.566167
0.257136,0.248163,0.008973,1.136784,0.876423,0.000010,0.497100
0.092496,0.086194,0.006302,0.671719,0.386540,0.208727,0.559260
0.092496,0.086194,0.006302,0.671719,0.386540,0.208727,0.559260
