cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.168897,0.068897,0.100000,0.010000,0.000000,1.000000,0.610503
0.168897,0.068897,0.100000,0.010000,0.000000,1.000000,0.610503
0.168897,0.068897,0.100000,0.010000,0.000000,1.000000,0.610503
0.168897,0.068897,0.100000,0.010000,0.000000,1.000000,0.610503
0.168897,0.068897,0.100000,0.010000,0.000000,1.000000,0.610503
99.498815,99.435046,0.063769,0.000010,-0.000700,0.798553,0.000010
0.147091,0.051080,0.096012,0.009001,-0.000070,0.979855,0.549454
0.147091,0.051080,0.096012,0.009001,-0.000070,0.979855,0.549454
0.147091,0.051080,0.096012,0.009001,-0.000070,0.979855,0.549454
0.147091,0.051080,0.096012,0.009001,-0.000070,0.979855,0.549454
0.147091,0.051080,0.096012,0.009001,-0.000070,0.979855,0.549454
0.096168,0.039715,0.056453,0.157689,0.000782,0.751186,0.509084
0.096168,0.039715,0.056453,0.157689,0.000782,0.751186,0.509084
0.096168,0.039715,0.056453,0.157689,0.000782,0.751186,0.509084
0.096168,0.039715,0.056453,0.157689,0.000782,0.751186,0.509084
0.096168,0.039715,0.056453,0.157689,0.000782,0.751186,0.509084
0.061514,0.040493,0.021021,0.307898,0.042889,0.457249,0.511394
0.061514,0.040493,0.021021,0.307898,0.042889,0.457249,0.511394
0.061514,0.040493,0.021021,0.307898,0.042889,0.457249,0.511394
0.061514,0.040493,0.021021,0.307898,0.042889,0.457249,0.511394
0.061514,0.040493,0.021021,0.307898,0.042889,0.457249,0.511394
0.056511,0.043569,0.012942,0.319373,0.084861,0.357323,0.550418
0.056511,0.043569,0.012942,0.319373,0.084861,0.357323,0.550418
0.056511,0.043569,0.012942,0.319373,0.084861,0.357323,0.550418
0.056511,0.043569,0.012942,0.319373,0.084861,0.357323,0.550418
0.056511,0.043569,0.012942,0.319373,0.084861,0.357323,0.550418
0.050969,0.045174,0.005795,0.398895,0.121828,0.234262,0.542594
0.050969,0.045174,0.005795,0.398895,0.121828,0.234262,0.542594
0.050969,0.045174,0.005795,0.398895,0.121828,0.234262,0.542594
0.050969,0.045174,0.005795,0.398895,0.121828,0.234262,0.542594
0.050969,0.045174,0.005795,0.398895,0.121828,0.234262,0.542594
0.049624,0.046209,0.003415,0.434720,0.164669,0.171902,0.545783
0.049624,0.046209,0.003415,0.434720,0.164669,0.171902,0.545783
0.049624,0.046209,0.003415,0.434720,0.164669,0.171902,0.545783
0.049624,0.046209,0.003415,0.434720,0.164669,0.171902,0.545783
0.049624,0.046209,0.003415,0.434720,0.164669,0.171902,0.545783
0.050307,0.048825,0.001482,0.558591,0.342077,0.000010,0.548325
0.047683,0.045930,0.001754,0.489315,0.242860,0.096142,0.546903
0.047683,0.045930,0.001754,0.489315,0.242860,0.096142,0.546903
0.047683,0.045930,0.001754,0.489315,0.242860,0.096142,0.546903
0.047683,0.045930,0.001754,0.489315,0.242860,0.096142,0.546903
0.047683,0.045930,0.001754,0.489315,0.242860,0.096142,0.546903
0.051222,0.049117,0.002105,0.615383,0.415515,0.000010,0.533478
0.046551,0.044949,0.001602,0.525147,0.291932,0.068819,0.543087
0.046551,0.044949,0.001602,0.525147,0.291932,0.068819,0.543087
0.046551,0.044949,0.001602,0.525147,0.291932,0.068819,0.543087
0.046551,0.044949,0.001602,0.525147,0.291932,0.068819,0.543087
0.046551,0.044949,0.001602,0.525147,0.291932,0.068819,0.543087
0.068680,0.065185,0.003495,0.720498,0.544389,0.011294,0.504118
0.045483,0.043739,0.001744,0.552275,0.326991,0.060831,0.537676
0.045483,0.043739,0.001744,0.552275,0.326991,0.060831,0.537676
0.045483,0.043739,0.001744,0.552275,0.326991,0.060831,0.537676
0.045483,0.043739,0.001744,0.552275,0.326991,0.060831,0.537676
0.045483,0.043739,0.001744,0.552275,0.326991,0.060831,0.537676
0.061905,0.057775,0.004131,0.731275,0.549204,0.076135,0.488179
0.043851,0.041740,0.002111,0.586127,0.369015,0.063725,0.528315
0.043851,0.041740,0.002111,0.586127,0.369015,0.063725,0.528315
0.043851,0.041740,0.002111,0.586127,0.369015,0.063725,0.528315
0.043851,0.041740,0.002111,0.586127,0.369015,0.063725,0.528315
0.043851,0.041740,0.002111,0.586127,0.369015,0.063725,0.528315
0.045903,0.041318,0.004585,0.697623,0.500698,0.126139,0.486183
0.041415,0.038450,0.002965,0.630826,0.421807,0.088747,0.511424
0.041415,0.038450,0.002965,0.630826,0.421807,0.088747,0.511424
0.041415,0.038450,0.002965,0.630826,0.421807,0.088747,0.511424
0.041415,0.038450,0.002965,0.630826,0.421807,0.088747,0.511424
0.041415,0.038450,0.002965,0.630826,0.421807,0.088747,0.511424
