cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.458155,0.447772,0.010382,3.000000,-0.100000,0.375596,0.375596,1.000000
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.127167,0.115884,0.011282,2.994712,-0.050825,1.001403,0.552471,0.990106
0.285114,0.270652,0.014462,2.946244,0.081064,1.997190,0.896207,0.961222
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.067095,0.054949,0.012146,2.977001,-0.002631,1.365280,0.678078,0.979552
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.049477,0.037765,0.011712,2.978610,-0.009832,1.205723,0.650201,0.980915
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.043706,0.031881,0.011825,2.969471,0.014414,1.251217,0.695587,0.977711
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.041772,0.030003,0.011770,2.960214,0.038630,1.228288,0.728798,0.975721
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040933,0.029206,0.011727,2.942506,0.082266,1.205513,0.774438,0.973727
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040805,0.029099,0.011706,2.937837,0.088996,1.207253,0.767284,0.974397
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.040176,0.028581,0.011595,2.903681,0.141478,1.209591,0.737299,0.978170
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039431,0.027839,0.011593,2.798546,0.296265,1.211306,0.661102,0.989340
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039391,0.027855,0.011535,2.796493,0.288826,1.210008,0.663053,0.988495
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.039219,0.027963,0.011255,2.766207,0.270496,1.206626,0.666336,0.985837
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.038763,0.028349,0.010415,2.646277,0.238700,1.200653,0.664006,0.979636
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
0.037670,0.029220,0.008450,2.304392,0.194727,1.191908,0.636941,0.966421
